Prénom;2 ème prénom;3 ème prénom;DDN2012
Jean-Marc;;;
Jimmy;Alain;;
Michael;Silvain;;
Nicole;;;
Olivier;;;
Olivier;;;
Ruth;;;
Sandra;;;
Serge;André;;
Sophie;Caroline;;
Soraya;Tamara;;
Ursula;Renée;;
Dominique;Andrée;;
Doris;Annelise;;
Elisabeth;Ottilia;;
Fauvette;Gygax;;
Françoise;Mireille;;
Eliane;Rosalie;;
François;;;
Jacqueline;Micheline;;
Jacqueline;Gaby;;
Janine;Marie;Emilie;
Jonathan;;;
Ludovic;;;
Ludovic;Alain;;
Manon;;;
Marie-Antoinette;;;
Marie-Josée;Simone;;
Marlyse;Jane;Laurence;
Morgane;;;
Morgane;;;
Natacha;Catherine;;
Philippe;Roger;;
Pierre-Alain;;;
Pierre;Edmond;;
Roger;Marcel;;
Timothée;William;;
Karine;;;
Yann;;;
Jakub;;;
Lisa;Lola;;
Agathe;Ségolène;Pom;
Camille;Annette;;
Edward;Joseph;Savio;
Lin;;;
Alban;Brieuc;;
Karol;Kryztel;;
Isabel;Maria;;
Paulo;Alexandre;;
Rui;Daniel;;
Silvia;Alexandra;;
Albino;;;
António;Carlos;;
Jorge;Manuel;;
Maria;de;Lurdes;
Maria;de;Fátima;
Isabelina;;;
Mário;Fernando;;
Elsa;Liliana;;
Fernando;Antonio;;
Pedro;Ivan;;
Julyssa;;;
Tiago;;;
Valdemar;José;;
Arlinda;Goreti;;
Nathan;Roland;;
Marisa;;;
Miguel;;;
Vitor;Manuel;;
Sandra;Cristina;;
Clarisse;;;
Jonathan;;;
Lilly;;;
Simone;Berthe;;
Stéphane;Nicolas;;
Liliane;Jeanne;Cécile;
Béatrice;Heidi;;
Cédric;Olivier;;
Charles;Joseph;;
Emilie;Coleen;Alice;
François;;;
Georges;Constant;;
Inna;Valentinovna;;
Johan;;;
Johan;;;
Laurence;Christine;;
Maéva;;;
Manon;Tara;Edwige;
Marceline;Yvette;;
Marilyn;;;
Mireille;Anne;;
Philippe;Séraphin;;
Rose;Marie;Alphonsine;
Rudransh;;;
Sachin;Kumar;;
Shraddha;;;
Vanessa;Aurore;;
Camille;;;
Moyra;Corine;;
Pierre;André;;
Rose;Susanne;;
Kateryna;;;
Chantal;;;
Adrien;;;
Alexandre;Youri;;
Aline;;;
André;Willy;;
Andreï;Eric;;
Angelica;;;
Apolline;Jeanne;Mathilde;
Sarah;Françoise;;
Charlie;;;
Christine;Marie;Agnès;
Clément;Charles;Emile;
Clément;Corentin;;
Constance;Léa;Aude;
Marie;Madeleine;;
Ginette;Marguerite;;
Hugo;Marcel;;
Jean;;;
Johann;René;;
Lise-Hélène;Daisy;;
Mathéo;Edouard;;
Catherine;Michèle;;
Jean-Daniel;;;
Marlyse;Ariane;;
René;Albert;;
Stéphanie;;;
Doris;Katharina;;
Frédérica;Michèle;;
Lisette;May;;
Sylviane;Hélène;;
Esther;Karin;;
Etienne;Gil;;
François;Bernard;;
Gabrielle;;;
Gaëtan;;;
Hugo;Hadrien;Côme;
Iannis;Vincent;;
Jean-Claude;;;
Jean-Michel;Pierre;Jacques;
Jeorgina;;;
Jérôme;;;
Johanna;;;
Joyce;Laura;;
Julien;;;
Lééna;Amanatou;;
Livio;;;
Maeva;Margot;;
Manuel;;;
Maodo;;;
Marceline;Irène;;
Marie;Elise;;
Mauricette;Jeannine;;
Mélanie;;;
Mélissa;Marine;Rosine;
Michael;;;
Michel;Frédéric;;
Michel;Georges;;
Milad;;;
Nora;;;
Odette;;;
Pascal;;;
Pascal;Jean-François;;
Paul;André;;
Paul;Michel;Marc;
Philippe;;;
Pierre;Francis;;
Pierre-Yves;;;
Raymond;Albert;;
Régis;Antoine;;
Roger;Julien;;
Sacha;Jules;;
Séverine;;;
Sheila;Anne;;
Simon;;;
Sophie;;;
Valérie;;;
Victor;;;
Vincent;Raymond;;
Sébastien;;;
Louis;Marie;Geoffroy;
Jérôme;;;
Matthis;Patrice;;
Stéphane;Nicolas;Jean;
Jordy;;;
Aurélie;;;
Céline;;;
Dzmitry;Romanovich;;
Gaël;Fabien;;
Keizo;Alexis;;
Laurence;Cécile;;
Lucienne;Regina;;
Claudine;Elisabeth;Marie;
Patrice;Georges;;
Roland;;;
Rose;Marie;;
Samuel;;;
Takumi;Maxime;;
Timothée;;;
Vincent;;;
Volha;;;
Maximilian;Albert;;
Sebastian;Louis;;
Sialyse;;;
Jules;;;
Céline;Ursula;Martine;
Anne;Aude;Hélène;
Arthur;Robert;Marceau;
Clément;;;
Fabrice;Jean;;
Olivier;;;
Daniele;Antonio;;
Tahïs;Maeva;;
Alain;;;
Alexandre;Edison;;
Aloïs;;;
Amélia;;;
Axelle;;;
Béatrice;;;
Bernard;Roger;;
Catherine;;;
Claudia;Alexandra;;
Claudine;Georgette;;
Coralie;;;
Damien;;;
Alena;;;
Célien;;;
Erica;Maja;;
Jean-Claude;;;
Juliette;;;
Maxence;Thibaud;;
Michèle;Andrée;;
Orane;;;
Romain;Jean;;
Sandrine;Isabelle;;
Yanis;;;
Alexandre;Gilbert;;
François;Philippe;;
Julien;Philippe;;
Kim;Alix;;
Melik;;;
Pierre;;;
Sandra;Odette;Elide;
Vic;Billy;;
Dominique;Fritz;Henri;
Dylan;Paul;;
Elia;;;
Enora;;;
Erine;;;
Evelyne;Rose;;
Fabian;Denis;;
François-Xavier;;;
Françoise;Denise;;
Jacques;;;
Luc;Alain;;
Marie;Thérèse;Léonie;
Michel;René;;
Michèle;Andrée;;
Nicole;Henriette;;
Nils;Alexander;;
Ophélie;;;
Pascal;;;
Philippe;André;;
Pierre;André;;
Timothée;;;
Yvette;Estelle;;
Alain;;;
Jean;Michel;Ernest;
Lola;;;
Mélanie;;;
Monika;;;
Karen;;;
Marc;Louis;Bernard;
Romain;;;
Nicolas;;;
Jean-Claude;Roger;;
Bénédicte;;;
Dominique;Emma;;
Eliane;Simone;;
Rose;Pauline;;
Lounia;Nour;;
Naïma;Ludmila;;
Yves;;;
Micheline;Claire;;
Roland;;;
Roland;Alphonse;;
Alice;;;
Guennadi;;;
Irina;;;
Ana;Marija;;
Claudine;Andrée;;
Hasan;;;
Rayan;Ivan;;
Ronay;;;
Anne-Lise;;;
Jamie;Jayne;;
Nicolas;Marc;Roger;
Romain;Robert;Maurice;
Christophe;François;;
Jérémy;Alain;Rémo;
Marine;;;
Nicolas;Jeff;;
Sébastien;Jean-Luc;;
Tara;Marie;Sajma;
Alice;;;
Jonathan;;;
Andrew;Eugène;;
Léo;;;
Sean;;;
Maguy;;;
Gaby;Maria;Cécile;
Livio;Jean;Laurent;
Paco;Andrea;;
Thomas;Claude;Bernard;
Flavien;Pierre;Alain;
Grace;Katherine;;
Martin;Nicolas;;
Madé;Jaya;Arthur;
Made;Suryani;;
Rémy;André;Jean;
Wayan;Saatria;Marlon;
Anne-Charlotte;Anne;Vinciane;
Heather;Jeannine-Marie;;
Abaz;;;
Arijeta;;;
Edonis;;;
Erblin;;;
Sakip;;;
Sylvie;Nelly;;
Simona;;;
Christopher;Richard;Francis;
Rémi;Joseph;Bernard;
Anna;Laeticia;;
Louis;Antoine;;
Edouard;Philippe;Albert;
Isabelle;Marianne;;
Marie;Françoise;Thérèse;
Myles;;;
Skylar;;;
Olivier;Blaise;;
Thaïs;Anka;Mina;
Buhlebethu;Shane;;
Anastasiia;;;
Liliana;;;
Laurentiu;;;
Maria;;;
Mioara;Margareta;;
Natalia;;;
Radita;;;
Sebastian-Constantin;;;
Tudor-Costin;;;
Gabriel;;;
Laurentiu;;;
Maria;Cristina;;
Maria;Ilinca;;
Valentina;;;
Basil;;;
Kerstin;;;
Linda;;;
Anne;;;
Jérémy;;;
Pascal;Robert;Jean-François;
Peter;;;
Philippe;Louis;;
Christian;;;
François;;;
Jérémy;;;
Alexandre;François;Lorenzo;
Fergal;Cillian;;
Saoirse;Frances;;
Narmin;;;
Victor;;;
Isabelle;Colette;Dominique;
Jean-Philippe;Michel;;
Jules;Marcel;Philippe;
Balthasar;Simon;;
Blaise;;;
Catherine;Marie-José;;
Corinne;Francisca;;
Eléa;Maya;;
Ivan;Georges;André;
Marianne;;;
Marie-France;;;
Maya;Catherine;;
Mélie;Françoise-Emilia;;
Monique;Claudine;;
Nicolas;;;
Noa;Madeleine;;
Olivia;Simone;;
Pierre-Emmanuel;Jean;Frédéric;
Daphné;Alix;;
Simon;Jean-Claude;;
Simone;Yvonne;;
Ulysse;;;
Yann;Paul;Albert;
Valentine;Fusca;;
Zéphyr;Clyde;;
France;Solange;;
Caroline;;;
Eva;;;
Léo;;;
Natacha;Rose;Evelyne;
Sophie;Annie;Géraldine;
Margrit;Alice;;
Laura;Vanessa;;
Sébastien;Damien;;
Eric;André;;
Ginetta;;;
Justine;Aurélie;;
Laurence;Romilda;;
Michel;Joseph;Albert;
Nathalie;Denyse;Ida;
Ursula;Alice;;
Samuel;Eric;;
Laurence;;;
Jacques;Julien;Oscar;
Jean-Mary;Martine;G;
Sandrine;Yvonne;Danielle;
Anne-Marie;Andrée;;
Blaise;Florian;;
Fabrice;Olivier;;
Françoise;Mireille;Véronique;
Hugo;;;
Jean-Luc;Olivier;;
Maria;de;la;
Maria;Fernanda;;
Vincent;;;
Yves;Alain;;
Charlotte;;;
Ivan;;;
Marius;;;
Hélène;Anne;Inés;
Virginia;Ludivine;;
Danielle;;;
Francis;Marcel;;
Nicolas;Jean;René;
Aimé;;;
Bastien;Lucien;Joseph;
Bertrand;Aimé;;
Margot;Marie;Jacqueline;
Marie-Claire;Anne;;
Kiran;;;
Shanti;Giulia;;
Yann;;;
Maria;Teresa;;
Valeria;;;
Anna;Milena;;
Fabian;Alejandro;;
Juan;Carlos;;
Isabelle;Barbara;;
Romina;;;
Ljiljana;;;
Alana;;;
Evelyne;;;
Rosa;Maria;;
Vanessa;;;
Adrien;;;
Lucia;del;Carmen;
Oscar;Doroteo;;
Francisco;Javier;;
Adriana;;;
Javier;Alejandro;;
Anaïs;Charlotte;Ludivine;
Anthony;David;Jean-Pierre;
Clémentine;Margot;;
Gildas;François;;
Jacqueline;Pia;;
Josseline;Ginette;Denise;
Kevin;;;
Matteo;Alessandro;;
Sabrina;Patrizia;;
Nicole;Ariane;;
Thierry;Pierre;Jacques;
Wassim;Loïc;;
Matty;Tomoki;;
Paul;;;
Candie;Caroline;;
Nicolas;;;
Antoine;;;
Perrine;Geneviève;Lise;
Daniele;Marguerite;;
François;Eugène;;
Laurent;;;
Maeva;Maïté;;
Hakan;;;
Azbije;;;
Elvedin;;;
Mehmedalija;;;
Murat;;;
Rahima;;;
Sead;;;
Semso;;;
Senada;;;
Marie;Anna;;
Räto;Andri;;
Till;Pierre-Alain;;
Codi;Floyd;;
Eric;Laurent;;
Lémi;;;
Lita;Charlotte;;
Mai;;;
Mimo;Odette;;
David;Aimé;Virgile;
Pascal;;;
Charles;Henri;;
Wafa;;;
Vincent;;;
Zahra;;;
Arthur;;;
Marc;Henri;Joseph;
Rebecca;;;
Zacchari;;;
Florian;;;
Phillip;Leroy;;
Can;;;
Derya;;;
Fatih;;;
Kalypso;;;
Mafalda;;;
Roza-Lux;;;
Suheda;;;
Rose;Marianne;;
Jean-Louis;;;
Mariam;;;
Carol;Daphné;;
Ana;Silvia;;
Corinne;;;
Jimmy;;;
Laura;;;
Laurent;Michel;;
Zachary;;;
Blerta;;;
Ahmed;;;
Amélia;Lou;;
Asia;Monika;;
Christine;Elisabeth;;
Georges;Jean;;
Iulia-Beatrice;;;
Marie;Rebecca;Gaël;
Monika;;;
Mathéo;Stanislas;;
Michaël;Pascal;;
Olivier;Daniel;;
Marie-Albane;Françoise;;
Stanislava;;;
Valentine;Marguerite;;
Danaël;Lou;Guillaume;
Dorian;Daniel;Louis;
Maxence;Jean;André;
Quentin;Jean-Marie;;
Anthony;Dominique;;
Adrien;Louis;Mahery;
Jérémie;José;Louis;
Marion;Solange;Madeleine;
Anna;Naomi;;
Ahmad;;;
Danial;;;
Khadija;;;
Mohammad;Parsa;;
Soma;;;
Soniya;;;
Esther;;;
Colas;Grégoire;;
Lou-Anne;;;
Véronique;Marie-Anne;;
Anthony;Miguel;Javier;
Cloé;Morgane;;
Dorian;;;
Emilie;Zoé;Victoria;
Florence;Catherine;;
Gloria;Teresa;;
Linda;Mélodie;Ida;
Luz;Adriana;;
Nicolas;François;;
Fabien;Luc;;
Michael;Patrick;Stephane;
Thierry;Marie;Jean;
Benjamin;Olivier;Michel;
Charlotte;Marie;Justine;
Marceau;Sébastien;Jérémie;
Octave;Jean;Bruno;
Olivier;Jacques;Christian;
Bernard;;;
Carole;Rachel;;
François;Willy;;
Jean;Pierre;;
Josette;Andrée;;
Josiane;;;
Marianne;;;
Jules;;;
Béatrice;Danielle;Annie;
Marie;;;
Alexandre;;;
Chhorda;;;
Christophe;;;
Claude;Armand;;
Francine;Josiane;;
Gilles;Louis;;
Jean-Pierre;Denis;;
Jean-Pierre;Paul;;
Josette;May;;
Sonia;Marguerite;;
Stéphane;;;
Susanne;Madeleine;;
Claudine;Paulette;;
Sabahattin;;;
Eywa;Ayleen;;
Florence;;;
Ana;;;
Maksym;;;
Valeria;;;
Viktoria;;;
Oliver;Hany;;
Aleksandra;Aneta;;
Aneta;Adrianna;;
Bartosz;Pawel;;
Daniel;;;
Halyna;;;
Blaise;Laurent;;
Damien;;;
Denyse;Juliette;;
Geneviève;;;
Liam;;;
Lou;;;
Michel;;;
Nicolas;;;
Eva;;;
Georges;;;
Dzeljalj;;;
Elbasan;;;
Florian;;;
Jeronim;;;
Suzane;;;
Nergis;;;
Mark;;;
Martha;;;
Galina;Nikolova;;
Mina;;;
Anneli;Catherine;;
Alexander;Werner;;
Danielle;Marie;Paule;
Eline;Célestine;;
Leana;Jane;;
Marianne;;;
Mila;Enea;;
Daniel;;;
Edvina;;;
Germaine;Marie;;
Kevin;;;
Ludovic;;;
Régina;Sylvie;Anna;
Catherine;Danielle;;
Adeline;Dora;Danielle;
Kévin;Roussel;;
Lydienne;;;
Fernando;;;
Eric;Innocents;;
Adel;;;
Ayderus;Nurahmed;;
Najibullah;;;
Maryam;;;
Wassim;;;
Zikra;;;
Mojgan;;;
Mostafa;;;
Nathan;;;
Vanessa;;;
Mireille;Janine;Elisabeth;
Olivier;Jacques;Denis;
Mirelys;;;
Carlos;Brayan;;
Luz;Adriana;;
Maria;de;Los;
Lauretta;;;
Dominique;Paul;;
Dorothée;Véronique;;
Léane;Marie;;
Michael;;;
Pascale;;;
Paulette;Jeanne;;
Thomas;;;
Arthur;;;
Jérôme;;;
Marc;;;
Noah;Luciano;Gianni;
Noémie;;;
Rose-Marthe;;;
Steve;;;
Primus;Ceasar;;
Michèle;Lily;;
Corinne;;;
Mehdi;;;
Antoinette;;;
Jean;Walther;;
Noah;Robert;;
Amy;Madeleine;Beth;
Cedric;;;
Benjamin;Andrew;Brooke;
Christopher;John;;
Daniel;James;Brooke;
Espérance;;;
Lucette;Ebah;;
Reda;;;
Rodrigue;Harry;;
William;John;Nicholas;
Allard;;;
Lilas;Marieke;Juliette;
Zéphyr;Joannes;Orlando;
Baris;Can;;
Muzaffer;;;
Harun;;;
Latif;;;
Nerima;;;
Vedad;;;
Polina;;;
Ange;Melik;Eno;
Sara;;;
Katherine;Anne;;
Isabelle;Patricia;;
Adrian;Roy;;
Alena;Virginia;;
Anders;Thomas;;
Sonya;Lichtenfeld;;
Heinz;;;
Helena;Maria;;
Denise;;;
Marc;Valentin;;
Tonina;Maria;;
Aletha;Ann;Howard;
Anna;Denise;;
Anne;Line;;
Arnold;Joseph;;
Arthur;;;
Arthur;;;
Béatrice;Odette;;
Billitis;Simone;;
Carolane;;;
Christian;;;
Christophe;;;
Deborah;Luana;;
Eliott;;;
Emilie;Joye;;
Flavia;Nicole;;
Grégoire;;;
Guillaume;;;
Janine;Marguerite;;
Jean-Daniel;André;;
Jean;Pierre;;
Jessica;;;
Josh;Bào-Minh;;
Lionel;;;
Louise;Marie;Anna;
Malika;Eileen;;
Margaux;;;
Marie-Line;;;
Martine;Josette;;
Méline;Emma;;
Nathalie;;;
Nelly;;;
Ngoc;Nuong;;
Noah;Minh-Tâm;;
Noémie;;;
Pierre;;;
Sarah;;;
Sébastien;Olivier;;
Soraya;Anne;;
Thibaud;;;
Yann;Raphaël;;
Yvonne;Hélène;;
Victoria;Marie-Josée;C;
Caroline;;;
Jade;Aurore;;
Baptiste;Aurélien;;
Cécile;Linda;;
Marcel;Baptiste;Hubert;
François;;;
Igor;;;
Julien;;;
Pierre-Yves;;;
Alice;Resli;;
David;;;
Mateus;;;
Nicolas;;;
Thomas;Alexandre;;
Reyhaneh;;;
Alexandra;Emmanuelle;;
Christiane;;;
Daniel;Richard;;
Jules;Jean-François;;
Luc;Nicolas;;
Martin;Walter;;
Vanessa;;;
Hélène;Sylvie;;
Ruth;Elisabeth;;
Gauthier;Florian;Antoine;
Bruno;;;
Florence;Nathalie;;
Florent;Nicolas;;
Mathilde;Iris;Paolina;
Akiva;Gamliel;;
Christiane;Elisabeth;;
Fereshteh;Sadat;;
Sayed;Ali;;
Shokoofeh;Sadat;;
Pradabphetch;;;
Marie;;;
Thomas;Werner;;
Daniel;Edwin;;
Ellen;Ruth;;
Gérard;Robert;;
Illona;Roxanne;Kimberley;
Jeannine;Paulette;;
Maxime;;;
Nino;Simon;;
Robin;John-Evans;;
Sylvie;Rachel;;
Doris;Magdalena;Ruth;
Ernest;André;;
Bernard;;;
Colette;Suzanne;;
David;Walter;;
Denis;;;
Gordana;;;
Ida;Doris;;
Jacqueline;Juliette;Marie-Josephe;
Felicia;Mirella;;
Klaus;Peter;;
Marie;Henriette;;
Martin;Karl;Franz;
Samnang;;;
Maria;;;
Francine;;;
Elif;;;
Esma;;;
Hilal;;;
Kerem;;;
Mihriban;;;
Katarina;Carmen;;
Dilruba;;;
Piril;;;
Sercan;;;
Jaouad;;;
Abdelkhalek;;;
Adila;;;
Magaly;;;
Rayan;;;
Saida;;;
Othmane;;;
Amine;;;
Amine;;;
Mehdi;;;
Said;;;
Yassine;;;
Fatma;;;
Samah;;;
Benjamin;Badre;;
Naoual;;;
Daniya;Haviva;Zahra;
Saloua;;;
Fadi;;;
Jocelyne;Odette;;
Kamal;;;
Soummayah;;;
Ghada;Ibrahim;Ahmed;
Majda;;;
Calï;Maxwell;Deniz;
Déborah;;;
Abdeljalil;;;
Amir;;;
Anasse;;;
Alya;;;
Ikbel;;;
Ilyes;;;
Najma;;;
Sabri;;;
Yasmine;;;
Amir;ban;Abderraouf;
Nadim;;;
Nawres;;;
Aouatif;;;
Ali;;;
Danièle;;;
Nora;;;
Ahmed;;;
Ilias;;;
Sara;;;
Hajar;;;
Abdel-Nasser;;;
Amer;;;
Céline;;;
Mohamad;Khaled;;
Salem;;;
Mohammed;;;
Ayoub;;;
Dana;;;
Mahmoud;;;
Rayan;;;
Mohad;;;
Mohammed;Saeed;Taleb;
Sabaa;;;
Kamel;;;
Idris;;;
Ilyes;;;
Ishak;;;
Ismaïl;;;
Zahra;;;
Amre;;;
Felix;Anwar;;
Jonas;Talal;;
Marius;Kalim;;
Hayfa;;;
Khaled;;;
Ovidio;;;
Zakariae;;;
Fatima;Zohra;;
Mourad;;;
Nayla;;;
Noam;;;
Amélie;Malika;;
Ihab;Aref;;
Joumana;;;
Talall;;;
Yassmin;;;
Ali;;;
Mehdi;;;
Myriam;Brigitte;;
Hanane;;;
Hiba;;;
Pascale;Simone;Raymonde;
Sarah;;;
Marie;Lynn;;
Djamila;;;
El;Hocine;;
Tarik;;;
Fouad;;;
Ahmed;;;
Mohamed;;;
Saida;;;
Nadia;;;
Nazha;;;
Kheloud;Jade;;
Lina;;;
Ayoob;;;
Ibrahim;Noaman;Salem;
Malika;;;
Rawad;;;
Samira;;;
Abdellah;;;
Ahmed;;;
Myriam;Dalia;;
Mohamed;;;
Sarah;;;
Mohamad;;;
Rachelle;;;
Hassan;;;
Marina;Graziella;;
Samia;Zahra;Iris;
Malika;;;
Aîcha;;;
Amine;;;
Assia;;;
Hajar;;;
Meryame;;;
Salma;;;
Sandra;;;
Samah;;;
Atif;;;
Iban;;;
Mohamed;Awad;Mohamed;
Younis;;;
Didier;Antoine;;
Hossam;Ahmed;Ahmed;
Luciano;Alberto;;
Nilo;Antoine;;
Azem;;;
Durim;;;
Euron;;;
Ideal;;;
Kamer;;;
Kumrije;;;
Lorena;;;
Qendrim;;;
Sali;;;
Servete;;;
Shpresa;;;
Valdrin;;;
Valmir;;;
Rron;;;
Ayman;;;
Danica;;;
Kaïs;;;
Youssef;;;
Ibrahime;Miloud;;
Jamila;Fatiha;Nadja;
Mansour;;;
Sabrina;Amal;Véréna;
Zinedine;Laïd;Yahia;
Hana;Mostafa;Shawky;
Nader;;;
Saida;;;
Nezha;;;
Ainhoa;;;
Celia;;;
David;;;
Edelbis;;;
Patricia;Anna;;
Nassim;;;
Latifa;;;
Ghalia;;;
Adam;;;
Chokri;;;
Ahou;Marianick;Carel;
Jean-Philippe;;;
Rym;;;
Zied;;;
Musa;;;
Daniel;;;
Leyre;;;
Rachel;Joanna;;
Sarra;;;
Sara;Ahmed;Ahmed;
Gentiana;;;
Claire;Alice;Irène;
Alan;;;
Astrid;;;
Cassie;;;
Nile;;;
Hawa;;;
Zerit;;;
Mohammad;Sadiq;;
Christophe;Akim;;
Julien;;;
Varnor;Maurice;;
Ahmed;Choukri;;
Tadese;;;
Rahel;;;
Ruth;;;
Anaé;Louise;;
Camille;Lynn;Charlotte;
Christelle;;;
Denise;Francine;;
Francis;;;
Hélène;Marie;Nadine;
Jean-Pierre;Marcel;;
Jenny;;;
Nathalie;Irene;;
Léia;Eva;;
Marianne;Micheline;;
Maurice;Paul;Alain;
Monique;;;
Pierre;Alain;;
Anaïs;;;
Silvia;Maria;;
Sophie;Thérèse;;
Ulysse-Albert;;;
Véronique;;;
Yasmin;Marie;;
Paul;Joseph;Maurice;
Edmond;;;
Emiranda;;;
Leotrim;;;
Ramiz;;;
Remzi;;;
Sanimeta;;;
Tafe;;;
Besjan;;;
Endrita;;;
Tuana;;;
Ujkan;;;
Unik;;;
Kazi;Ishwa;Kabir;
Rosa;Olivia;;
Christine;Claudine;;
Natacha;;;
Teresa;;;
Ann;Jeanne;P;
Anne-Marie;;;
Luc;;;
Harun;;;
Haydar;;;
Jean;;;
Roméo;Liam;;
Zeliha;;;
Ariana;;;
Atlantik;;;
Merita;;;
Olsa;;;
Rian;;;
Shefket;;;
Diana-Ioana;;;
Ioan-Claudiu;;;
Nino;;;
Amelia;;;
Julian;Martin;;
Simone;Marguerite;;
Dylan;;;
Ehsan;;;
Seila;;;
Clyde;;;
Justine;Marie;Caroline;
Yanis;;;
Coralie;Julie;;
Jean;Charles;;
Jonathan;Gérard;;
Claude;Gaston;Joseph;
Josée;;;
Prince;David;;
François;Bernard;;
Kosara;;;
Aurélie;Naomi;;
Leo;Nabi;;
Nolan;;;
Ray;Wilkin's;;
Elijah;William;;
Keziah;;;
Patrick;;;
Houda;;;
Arnold;Maria;Hansi;
Océanie;Muriel;Kimberley;
Gianfranco;Secondo;Antonio;
Mathilde;;;
Narayan;;;
Patrick;;;
Salvatore;;;
Emma;;;
Joëlle;Suzanne;;
Kevin;;;
Roland;;;
Stephanie;Marguerite;;
Charline;;;
Christiane;Gabrielle;;
Claude;Marcel;;
Fabrice;Pierre;Laurent;
Françoise;Michèle;;
Geneviève;Anne;;
Jean-Fred;Roger;;
Jérôme;Nicola;Rémy;
Jessica;;;
Léna;Jeanne;Ellynn;
Luc-Olivier;;;
Lucien;;;
Maëlle;Izia;;
Mathieu;Valentin;;
Maxine;;;
Mélody;;;
Mia;;;
Natacha;Jeannine;Rose;
Philippe;André;;
Pierrette;Colette;;
Rémy;Joseph;Henri;
Sven;;;
Céline;Rose;May;
Zoé;Sharleen;;
Hamza;;;
Nida;;;
Osman;;;
Zülfikar;;;
Natalia;Maria;;
Elena;;;
Sophie;;;
Eisen;Hawer;;
Antoine;Isaac;;
Augustin;Frédéric;Benjamin;
Mathieu;Frédéric;;
Mélanie;;;
Rutli;;;
Tamara;;;
Fabian;;;
Bayram;;;
Cynthia;;;
Emma;;;
Enes;;;
Güler;;;
Selin;;;
Sercan;;;
Céline;;;
Eren;;;
Igo;Raimund;;
Vedat;;;
Ayse;;;
Bedran;;;
Hasan;Hatip;;
Hatun;;;
Hikmet;;;
Mehmet;;;
Rodî;;;
Selda;;;
Asmine;;;
Asya;;;
Bekir;;;
Besey;;;
Dilan-Elif;;;
Dora;Eylem;;
Fadime;;;
Isabelle;;;
Murat;;;
Rahsan;;;
Sevilay;;;
Siyarcan;;;
Volkan;Jonathan;;
Anthony;;;
Antonio;;;
Lucia;;;
Mirko;;;
Theresa;Elena;Katharina;
Amaya;;;
Inaé;;;
Maelle;Ernestine;;
Aylin;;;
Kim;Ellie;Rose;
Kristin;Eva;;
Liv;Eva;Pauline;
Marie;;;
Charly;;;
Dimitri;;;
Flo;;;
Marie;José;;
Marlène;;;
Sandra;;;
Sil;;;
Valérie;;;
Georges;André;;
Jean;;;
Zorica;;;
Enzo;Ethan;Ugo;
Jérôme;Christophe;Daniel;
Luka;Kieran;Maël;
François-Roger;;;
Jacqueline;;;
Arieta;;;
Avni;;;
Eros;;;
Erza;;;
Elizaveta;;;
Carlo;Isidore;Ernest;
Katrin;;;
Lukas;Christian;;
Miriam;Johanna;;
Raphael;Dominik;;
Rebecca;Silvia;;
Alexandre;;;
Ernestine;;;
Félicia;;;
Melian;;;
Monique;Elie;;
Ottilie;Käthe;Gudrun;
Saskia;;;
Ulrike;;;
Abdelmounaim;;;
Aicha;;;
Azzeddine;;;
Anna;Maria;;
Brigitte;Irene;;
Dominique;Sylvie;;
Karim;;;
Leila;;;
Mahmoud;;;
Malik;;;
Naïm;;;
Sami;;;
Shadia;;;
Waïl;Er;Rihani;
Francesco;;;
Christian;Emanuele;;
Francesca;;;
Mario;Ermes;;
Emre;Onur;;
Léa;Margaux;;
Ahlam;;;
Ahmed;;;
Malak;;;
Shama;;;
Luhumbu;Apo;;
Yulia;;;
Daniel;;;
Christian;Georges;;
Ginette;Claudine;;
Jordi;;;
Emilie;Fabienne;Michele;
Catherine;;;
Rolf;Cyril;;
Charline;;;
Christelle;;;
Fabrice;Hugues;;
Lia;;;
Marie;Rose;;
Quentin;;;
Rémy;;;
Roger;Jean;;
Andres;Sébastien;;
Marta;;;
Olga;Nancy;;
Marianne;;;
Martha;Luise;;
Oskar;;;
Shannon;;;
Carine;;;
Yann;;;
Andréa;Nathalie;Emilie;
Victor;;;
Carlos;Enrique;;
Joaquim;Manuel;;
Paula;;;
Alisa;;;
Dora;Cristina;;
Nimrod;;;
Yanet;;;
Anteneh;;;
Christophe;Anthony;Jean-Philippe;
Maxime;Simon;;
Samuel;Luis;;
Shahin;;;
Ahmed;;;
Liliana;Regina;;
Ângela;Isabel;;
Alberto;;;
Ignacio;;;
Irene;;;
Angel;David;;
Pablo;;;
Ricardo;Yoraco;Tai-Chi;
Yolanda;Irene;;
Addolorata;;;
Adriana;;;
Fabio;;;
Giovanna;;;
Patrizia;;;
Mahshid;;;
Mohammed;;;
Selma;;;
Ziad;;;
Helga;Catarine;;
Ralph;;;
Azza;;;
Marc;Edmond;Louis;
Widad;Nora;;
Eric;Joël;Claude;
Jean;Sylvain;Victor;
Adrian;José;Bernard;
Béatrice;Andrée;Francesca;
Marcos;;;
Arthur;;;
Benjamin;;;
Charlotte;;;
Elliot;;;
Emilie;;;
Hugo;;;
Juliette;;;
Mélanie;;;
Sacha;;;
Jordina;;;
Ana;Mayifuila;;
Béatriz;;;
Vânia;de;Jesus;
Martinha;Delfina;;
Emilia;Maria;;
Anselmo;;;
Noemi;;;
César;;;
Ilan;;;
Marta;Susana;;
